,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1676,LKYY,MainBoard,0000-00-00,XSHG,C27,医药制造业,2015-05-28,603669.XSHG,100.0,HealthCare,医疗保健,Normal,Active,灵康药业,CS
1677,CYXX,GEM,0000-00-00,XSHE,I65,软件和信息技术服务业,2014-01-27,300366.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,创意信息,CS
1678,HYLZ,MainBoard,0000-00-00,XSHG,I64,互联网和相关服务,2017-08-02,603825.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,华扬联众,CS
1679,JRKY,MainBoard,0000-00-00,XSHG,B06,煤炭开采和洗选业,1996-06-06,600714.XSHG,100.0,Materials,原材料,Normal,Active,金瑞矿业,CS
1680,QDSD,MainBoard,0000-00-00,XSHE,N77,生态保护和环境治理业,1998-02-25,000826.XSHE,100.0,Industrials,工业,Normal,Active,启迪桑德,CS
1681,JNZY,MainBoard,0000-00-00,XSHG,K70,房地产业,1997-01-30,600791.XSHG,100.0,Financials,金融,Normal,Active,京能置业,CS
1682,GMXC,GEM,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2011-04-07,300200.XSHE,100.0,Materials,原材料,Normal,Active,高盟新材,CS
1683,YLGF,SMEBoard,0000-00-00,XSHE,C36,汽车制造业,2007-04-18,002126.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,银轮股份,CS
1684,CXKJ,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2010-05-26,300088.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,长信科技,CS
1685,YLGF,MainBoard,0000-00-00,XSHG,C35,专用设备制造业,2014-01-22,603308.XSHG,100.0,Industrials,工业,Normal,Active,应流股份,CS
1686,CJDL,MainBoard,0000-00-00,XSHG,D44,电力、热力生产和供应业,2003-11-18,600900.XSHG,100.0,Utilities,公用事业,Normal,Active,长江电力,CS
1687,SJGD,SMEBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2008-09-19,002273.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,水晶光电,CS
1688,GBKJ,GEM,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2009-10-30,300019.XSHE,100.0,Materials,原材料,Normal,Active,硅宝科技,CS
1689,KLDZ,SMEBoard,0000-00-00,XSHE,C40,仪器仪表制造业,2007-03-06,002121.XSHE,100.0,Industrials,工业,Normal,Active,科陆电子,CS
1690,JSYX,MainBoard,0000-00-00,XSHG,I63,电信、广播电视和卫星传输服务,2015-04-28,600959.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,江苏有线,CS
1691,NDDY,GEM,0000-00-00,XSHE,C38,电气机械和器材制造业,2010-04-21,300068.XSHE,100.0,Industrials,工业,Normal,Active,南都电源,CS
1692,SSTJM,MainBoard,2006-11-30,XSHG,Unknown,未知,1997-06-26,600092.XSHG,100.0,Industrials,工业,StarST,Delisted,S*ST精密,CS
1693,TJGF,SMEBoard,0000-00-00,XSHE,I65,软件和信息技术服务业,2010-03-12,002368.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,太极股份,CS
1694,ZJZY,MainBoard,0000-00-00,XSHE,F51,批发业,1997-04-10,000705.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,浙江震元,CS
1695,SFX,MainBoard,0000-00-00,XSHG,C17,纺织业,2003-03-06,600370.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,三房巷,CS
1696,DOJJ,SMEBoard,0000-00-00,XSHE,C21,家具制造业,2016-05-25,002798.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,帝欧家居,CS
1697,*STJL,MainBoard,0000-00-00,XSHE,B08,黑色金属矿采选业,1996-11-28,000655.XSHE,100.0,Materials,原材料,StarST,Active,*ST金岭,CS
1698,ZLDC,MainBoard,0000-00-00,XSHE,K70,房地产业,1993-10-08,000031.XSHE,100.0,Financials,金融,Normal,Active,中粮地产,CS
1699,JXCZ,MainBoard,0000-00-00,XSHG,C37,铁路、船舶、航空航天和其他运输设备制造业,2004-05-26,600495.XSHG,100.0,Industrials,工业,Normal,Active,晋西车轴,CS
1700,GFSY,MainBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,1998-11-19,000859.XSHE,100.0,Materials,原材料,Normal,Active,国风塑业,CS
1701,ZJSY,MainBoard,0000-00-00,XSHG,K70,房地产业,1993-10-28,600684.XSHG,100.0,Financials,金融,Normal,Active,珠江实业,CS
1702,XMGW,MainBoard,0000-00-00,XSHE,G55,水上运输业,1999-04-29,000905.XSHE,100.0,Industrials,工业,Normal,Active,厦门港务,CS
1703,WYQY,MainBoard,0000-00-00,XSHG,K70,房地产业,1993-04-07,600641.XSHG,100.0,Financials,金融,Normal,Active,万业企业,CS
1704,HHKJ,SMEBoard,0000-00-00,XSHE,C35,专用设备制造业,2011-12-20,002645.XSHE,100.0,Industrials,工业,Normal,Active,华宏科技,CS
1705,STJG,MainBoard,0000-00-00,XSHG,A02,林业,2000-08-25,600265.XSHG,100.0,Materials,原材料,ST,Active,ST景谷,CS
1706,KSGF,GEM,0000-00-00,XSHE,C34,通用设备制造业,2011-08-19,300257.XSHE,100.0,Industrials,工业,Normal,Active,开山股份,CS
